Block,Measurement,FrogID,MeasurementID,BoutID,Experiment,AccTemp,AccInc,PerfTemp,PerfInc,Breaths,AvgMass(g),minTime(ms),maxTime(ms),totalTime(s),totalTime(min),BreathsPerMin,O2Measure(mLO2/mLAir)(sec),AvgFlowRate(SCCMAir/min),CorrectedFlowRate(mLAir/min),AvgAirDensity(gAir/mLair),WeightPerc(gO2/gAir),VolPerc(mLO2/mLAir),O2Consumed(mgO2),mgO2ConsPerBreath,negTotalFlow(mLAir/Min)(sec),posTotalFlow(mLAir/Min)(sec),totBreathVolSCCM(mLAir/Min)(sec),BreathVolCorrected(mLAir/Min)(sec),mLAirPerBreath
3,ZeroOne,Laevis03,B3ZeroDayPT1L03,B3ZeroDayPT1L03_6900s,B,8,11,20,5,9,31.81,6846801,6943206,96.405,1.60675,5.601369224,0.069598181,178.8348,191.4322095,0.00111,0.2314,0.2095,0.272247536,0.030249726,24.25240718,30.57217799,54.82458517,58.6865167,0.108678735
3,ZeroOne,Laevis03,B3ZeroDayPT1L03,B3ZeroDayPT1L03_7900s,B,8,11,20,5,10,31.81,7837927,7902058,64.131,1.06885,9.355849745,0.070657718,179.4935,192.1373094,0.00111,0.2314,0.2095,0.277410164,0.027741016,36.99123646,36.85797447,73.84921093,79.05126754,0.131752113
3,ZeroOne,Laevis04,B3ZeroDayPT1L04,B3ZeroDayPT1L04_9800s,B,26,7,29,2,7,50.59,9763133,9821993,58.86,0.981,7.135575943,0.144880195,256.8127,274.9029976,0.00111,0.2314,0.2095,0.813840979,0.116262997,118.8806214,70.76653373,189.6471551,203.0062043,0.483348105
3,ZeroOne,Laevis11,B3ZeroDayPT1L11,B3ZeroDayPT1L11_5650s,B,17,8,8,11,8,29.075,5627542,5702537,74.995,1.249916667,6.400426695,0.039024625,184.48,197.4750665,0.00111,0.2314,0.2095,0.157471537,0.019683942,85.68930646,70.24766646,155.9369729,166.9214229,0.347752964
3,ZeroOne,Laevis19,B3ZeroDayPT1L19,B3ZeroDayPT1L19_5650s,B,8,11,17,12,24,15.95,5543240,5756567,213.327,3.55545,6.750200397,0.062107102,199.0765,213.0997673,0.00111,0.2314,0.2095,0.270442722,0.011268447,247.8475845,207.9133997,455.7609842,487.8655175,0.338795498
3,ZeroOne,Laevis19,B3ZeroDayPT1L19,B3ZeroDayPT1L19_7100s,B,8,11,17,12,10,15.95,7027098,7154230,127.132,2.118866667,4.719504137,0.021540762,199.032,213.0521326,0.00111,0.2314,0.2095,0.093777361,0.009377736,88.69609117,74.43941257,163.1355037,174.6270297,0.29104505
3,ZeroOne,Laevis21,B3ZeroDayPT1L21,B3ZeroDayPT1L21_4960s,B,26,12,23,9,6,22.35,4928044,4990938,62.894,1.048233333,5.723916431,0.059891197,200.5064,214.6303917,0.00111,0.2314,0.2095,0.262666852,0.043777809,44.69407721,72.58755875,117.281636,125.5431421,0.34873095
3,ZeroOne,Laevis21,B3ZeroDayPT1L21,B3ZeroDayPT1L21_7730s,B,26,12,23,9,5,22.35,7708820,7746244,37.424,0.623733333,8.016246259,0.010994649,199.176,213.2062762,0.00111,0.2314,0.2095,0.047899657,0.009579931,15.3129995,36.69806753,52.01106703,55.67480984,0.185582699
3,ZeroOne,Laevis21,B3ZeroDayPT1L21,B3ZeroDayPT1L21_9640s,B,26,12,23,9,3,22.35,9618231,9671538,53.307,0.88845,3.376667229,0.031407404,198.1421,212.0995467,0.00111,0.2314,0.2095,0.136120283,0.045373428,16.78037657,10.62070514,27.40108171,29.33125776,0.162951432
3,ZeroOne,Laevis22,B3ZeroDayPT1L22,B3ZeroDayPT1L22_5060s,B,8,9,11,7,3,18.775,5028236,5081805,53.569,0.892816667,3.360152327,0.015252986,171.8241,183.9276646,0.00111,0.2314,0.2095,0.057326177,0.019108726,35.5495026,26.48904608,62.03854868,66.40864334,0.368936907
